6.0.1,8458
1.0,12285
3.51,3634
3.52,6263
6.1.1,5689
3.11,41
3.12,4737
3.1,443
3.6,328
3.7,2944
6.5,16453
6.4,3701
6.3,751
3.3,9397
6.1,3541
6.0,3438
2.3,2
2.2,1
4.51,1101
3.8,22849
3.9,4
5.0,237
4.4,76
5.2,1949
4.6,3854
5.4,3398
5.5,2004
4.3,7002
5.7,14085
5.8,23226
5.9,69672
8.8.8,1
5.0.1,30
5.9.5,4679
4.5,4
3.42,4855
3.41,4
5.1,550
3.01,13652
3.61,1376
5.9.8,3808
3.0,24
3.62,2974
5.3,1963
1.2,1
3.4,41
4.1,3385
4.0,1543
6.5.2,482791
3.91,504
5.0.2,7699
6.5.1,211880
5.6,2631
6.6,151731
4.2,3612
6.4.2,240525
6.4.1,39703
6.2.1,38210
4.41,702
3.5,2
6.3.1,52217
6.3.2,777
6.3.3,36
1.1,1
3.2,900
7.3.0,3
6.2,600
